Local time,Open,High,Low,Close,Volume
16.09.2019 15:00:00.000 GMT+0900,107.861,107.906,107.806,107.835,7979.3799
16.09.2019 16:00:00.000 GMT+0900,107.835,107.933,107.832,107.857,9908.5195
16.09.2019 17:00:00.000 GMT+0900,107.855,107.934,107.790,107.809,7944.1401
16.09.2019 18:00:00.000 GMT+0900,107.808,107.809,107.687,107.733,10195.9004
16.09.2019 19:00:00.000 GMT+0900,107.733,107.793,107.708,107.763,7497.2798
16.09.2019 20:00:00.000 GMT+0900,107.763,107.807,107.677,107.793,8369.4199
16.09.2019 21:00:00.000 GMT+0900,107.794,107.888,107.774,107.873,10041.2402
16.09.2019 22:00:00.000 GMT+0900,107.872,107.964,107.855,107.948,11577.6699
16.09.2019 23:00:00.000 GMT+0900,107.947,108.046,107.876,108.020,11676.3496
17.09.2019 00:00:00.000 GMT+0900,108.019,108.095,107.920,107.954,12629.9502
17.09.2019 01:00:00.000 GMT+0900,107.954,108.036,107.918,107.966,7396.71
17.09.2019 02:00:00.000 GMT+0900,107.965,108.048,107.953,108.029,5778
17.09.2019 03:00:00.000 GMT+0900,108.028,108.091,108.011,108.042,6944.0298
17.09.2019 04:00:00.000 GMT+0900,108.043,108.091,107.963,108.081,6858.8701
17.09.2019 05:00:00.000 GMT+0900,108.081,108.167,108.073,108.128,3218.5
17.09.2019 06:00:00.000 GMT+0900,108.128,108.165,108.062,108.100,4248.8301
17.09.2019 07:00:00.000 GMT+0900,108.100,108.135,108.080,108.119,8429.7197
17.09.2019 08:00:00.000 GMT+0900,108.119,108.186,108.095,108.149,4362.5801
17.09.2019 09:00:00.000 GMT+0900,108.149,108.218,108.022,108.208,9171.6104
17.09.2019 10:00:00.000 GMT+0900,108.209,108.371,108.159,108.162,11469.4902
17.09.2019 11:00:00.000 GMT+0900,108.162,108.198,108.080,108.183,6011.8701
17.09.2019 12:00:00.000 GMT+0900,108.183,108.195,108.135,108.165,4972.2598
17.09.2019 13:00:00.000 GMT+0900,108.165,108.246,108.158,108.231,3342.73
17.09.2019 14:00:00.000 GMT+0900,108.230,108.230,108.149,108.183,7617.1699
17.09.2019 15:00:00.000 GMT+0900,108.183,108.253,108.177,108.232,7418.3398
17.09.2019 16:00:00.000 GMT+0900,108.232,108.238,108.105,108.125,8743.4805
17.09.2019 17:00:00.000 GMT+0900,108.126,108.198,108.123,108.158,5609.8501
17.09.2019 18:00:00.000 GMT+0900,108.154,108.236,108.151,108.236,5361.3398
17.09.2019 19:00:00.000 GMT+0900,108.235,108.246,108.116,108.130,4485.8701
17.09.2019 20:00:00.000 GMT+0900,108.129,108.182,108.125,108.142,4786.6201
17.09.2019 21:00:00.000 GMT+0900,108.144,108.208,108.096,108.197,8589.9297
17.09.2019 22:00:00.000 GMT+0900,108.199,108.352,108.090,108.227,17170.3906
17.09.2019 23:00:00.000 GMT+0900,108.227,108.330,108.169,108.200,12373.1504
18.09.2019 00:00:00.000 GMT+0900,108.199,108.211,108.099,108.129,10140.5303
18.09.2019 01:00:00.000 GMT+0900,108.130,108.167,108.062,108.072,6120.71
18.09.2019 02:00:00.000 GMT+0900,108.072,108.181,108.056,108.148,5467.9702
18.09.2019 03:00:00.000 GMT+0900,108.148,108.202,108.136,108.196,6488.5601
18.09.2019 04:00:00.000 GMT+0900,108.197,108.207,108.142,108.142,4412.1099
18.09.2019 05:00:00.000 GMT+0900,108.142,108.148,108.101,108.114,3159.1001
18.09.2019 06:00:00.000 GMT+0900,108.108,108.148,108.096,108.108,6993.0898
18.09.2019 07:00:00.000 GMT+0900,108.108,108.128,108.091,108.108,3691.75
18.09.2019 08:00:00.000 GMT+0900,108.108,108.120,108.085,108.095,4276.9702
18.09.2019 09:00:00.000 GMT+0900,108.095,108.192,108.094,108.184,6749.6299
18.09.2019 10:00:00.000 GMT+0900,108.183,108.229,108.146,108.220,6043.4199
18.09.2019 11:00:00.000 GMT+0900,108.222,108.264,108.197,108.261,4480.7998
18.09.2019 12:00:00.000 GMT+0900,108.261,108.273,108.171,108.206,3884.04
18.09.2019 13:00:00.000 GMT+0900,108.207,108.221,108.186,108.202,2355.73
18.09.2019 14:00:00.000 GMT+0900,108.201,108.221,108.192,108.217,3024.95
18.09.2019 15:00:00.000 GMT+0900,108.217,108.245,108.184,108.236,4636.79
18.09.2019 16:00:00.000 GMT+0900,108.238,108.245,108.177,108.199,6671.8198
18.09.2019 17:00:00.000 GMT+0900,108.197,108.224,108.180,108.213,5323.3198
18.09.2019 18:00:00.000 GMT+0900,108.214,108.231,108.188,108.211,4943.3901
18.09.2019 19:00:00.000 GMT+0900,108.211,108.231,108.181,108.191,3904.4199
18.09.2019 20:00:00.000 GMT+0900,108.192,108.199,108.166,108.173,3674.1499
18.09.2019 21:00:00.000 GMT+0900,108.174,108.202,108.144,108.190,7249.3799
18.09.2019 22:00:00.000 GMT+0900,108.190,108.212,108.160,108.191,7760.04
18.09.2019 23:00:00.000 GMT+0900,108.192,108.241,108.171,108.227,7568.5
19.09.2019 00:00:00.000 GMT+0900,108.227,108.237,108.160,108.176,5847.96
19.09.2019 01:00:00.000 GMT+0900,108.176,108.181,108.147,108.170,4465.7202
19.09.2019 02:00:00.000 GMT+0900,108.170,108.191,108.098,108.124,5466.79
19.09.2019 03:00:00.000 GMT+0900,108.124,108.438,108.122,108.342,23004.2402
19.09.2019 04:00:00.000 GMT+0900,108.345,108.472,108.293,108.438,15176.54
19.09.2019 05:00:00.000 GMT+0900,108.436,108.475,108.421,108.443,3640.03
19.09.2019 06:00:00.000 GMT+0900,108.441,108.442,108.375,108.401,5581.1499
19.09.2019 07:00:00.000 GMT+0900,108.403,108.426,108.387,108.399,3855.96
19.09.2019 08:00:00.000 GMT+0900,108.398,108.442,108.395,108.435,5373.23
19.09.2019 09:00:00.000 GMT+0900,108.434,108.471,108.268,108.288,8635.4297
19.09.2019 10:00:00.000 GMT+0900,108.288,108.315,107.991,108.065,14692.9805
19.09.2019 11:00:00.000 GMT+0900,108.066,108.207,108.014,108.092,9483.9697
19.09.2019 12:00:00.000 GMT+0900,108.096,108.118,107.786,107.857,15487.1699
19.09.2019 13:00:00.000 GMT+0900,107.859,107.913,107.827,107.895,6580.9902
19.09.2019 14:00:00.000 GMT+0900,107.895,107.936,107.860,107.932,6576.5
19.09.2019 15:00:00.000 GMT+0900,107.932,108.016,107.890,107.951,7532.8999
19.09.2019 16:00:00.000 GMT+0900,107.950,108.139,107.853,108.045,14973.6602
19.09.2019 17:00:00.000 GMT+0900,108.045,108.058,107.986,107.997,7668.7402
19.09.2019 18:00:00.000 GMT+0900,107.998,108.016,107.931,108.014,7063.4902
19.09.2019 19:00:00.000 GMT+0900,108.014,108.027,107.907,107.919,6151.8501
19.09.2019 20:00:00.000 GMT+0900,107.919,107.974,107.916,107.955,9256.4502
19.09.2019 21:00:00.000 GMT+0900,107.956,108.011,107.893,107.966,11286.1396
19.09.2019 22:00:00.000 GMT+0900,107.967,108.045,107.943,107.995,11061.0801
19.09.2019 23:00:00.000 GMT+0900,107.996,108.084,107.990,108.040,10545.4902
20.09.2019 00:00:00.000 GMT+0900,108.041,108.050,107.966,107.997,6995.5
20.09.2019 01:00:00.000 GMT+0900,107.998,108.035,107.937,107.963,5935.9902
20.09.2019 02:00:00.000 GMT+0900,107.963,107.967,107.836,107.906,11294.2197
20.09.2019 03:00:00.000 GMT+0900,107.905,107.982,107.898,107.980,8348.3496
20.09.2019 04:00:00.000 GMT+0900,107.980,108.066,107.971,108.033,7472.8501
20.09.2019 05:00:00.000 GMT+0900,108.033,108.059,108.007,108.009,3268.5801
